001.html	https://akispetretzikis.com/en/recipe/9325/gemista-mpiftekia-me-ryzi	"800 g ground beef"	"100 g cream cheese"	"Preheat the oven to 180"
002.html	https://www.epicurious.com/recipes/food/views/ba-syn-chocolate-cheesecake	"16 Oreos or other creme-filled chocolate"	"1 cup (200 g) sugar"	"Place a rack in middle of oven"
003.html	https://barefootcontessa.com/recipes/chicken-pot-pie-soup	"3 chicken breasts"	"Puff Pastry Croutons"	"Preheat the oven to 350 degrees"
004.html	https://www.allrecipes.com/bang-bang-burrito-recipe-11842482	"1/2 cup mayonnaise"	"2 cups coleslaw mix"	"Prepare chicken strips in the air fryer"
005.html	https://www.delish.com/cooking/recipe-ideas/a62098456/million-dollar-mac-cheese-recipe/	"Kosher salt"	"Dijon mustard"	"In a wide skillet over medium-low heat"
006.html	https://www.simplyrecipes.com/citrus-marinated-chicken-breasts-recipe-11845630	"4 large boneless, skinless chicken breasts"	"Place the chicken breasts in a gallon-sized zip-top bag"
007.html	https://www.recipetineats.com/cajun-baked-salmon-bites/	"2 tsp paprika"	"1/4 tsp cayenne pepper"	"Wrinkle foil up by lightly"
008.html	https://www.bbcgoodfood.com/recipes/sausage-ragu	"large garlic cloves"	"chopped tomatoes"	"Heat the remaining oil in a medium frying pan"
009.html	https://pinchofyum.com/egg-roll-tacos	"shredded cabbage and carrots mix"	"small flour tortillas"	"Heat a skillet over medium high heat"
010.html	https://foodnetwork.co.uk/recipes/tongue-tantalising-barbecue-pork	"240ml dark beer"	"jalapeno pepper"	"Cook bacon in oven"
